1004 3984 1076
2004 1996 1236
3004 1331 1313
4004 999 1336
5004 799 1340
6004 666 1415
7004 571 1426
8004 499 1424
9004 444 1421
10004 399 1487
20004 199 1578
30004 133 1603
40004 99 1590
50004 79 1661
60004 66 1673
70004 57 1678
80004 49 1662
90004 44 1685
100004 39 1675
200004 19 1733
300004 13 1918
400004 9 1800
500004 7 1746
600004 6 1798
700004 5 1757
800004 5 2103
900004 5 2350
1000004 5 2639
1200004 5 3173
1400004 5 3814
1600004 5 4269
1800004 5 4924
2000004 5 5509
2200004 5 6035
2400004 5 6590
2600004 5 7199
2800004 5 7766
3000004 5 8586
3200004 5 8958
3400004 5 9476
3600004 5 10305
3800004 5 10973
4000004 5 11552
4200004 5 11992
4400004 5 12678
4600004 5 13239
4800004 5 14187
5000004 5 14537
5200004 5 15553
5400004 5 15998
5600004 5 16783
5800004 5 17477
6000004 5 17912
6200004 5 18576
6400004 5 19379
6600004 5 19199
6800004 5 20438
7000004 5 21080
7200004 5 21705
7400004 5 22369
7600004 5 23036
7800004 5 23538
8000004 5 24188
8200004 5 24887
8400004 5 25143
8600004 5 25807
8800004 5 26399
9000004 5 27688
9200004 5 28531
9400004 5 28401
9600004 5 28835
9800004 5 30667
10000004 5 31366
